id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
0,0,5,1,1,0,1,1,10,26.0,2
1,0,3,1,4,0,1,1,10,124.0,6
2,0,3,1,3,1,2,0,10,152.0,6
3,0,5,1,3,1,1,0,11,61.0,7
4,0,3,1,4,0,2,0,7,152.0,5
5,1,3,1,2,1,2,0,10,152.0,9
6,0,3,1,4,1,2,0,10,152.0,7
7,1,3,1,2,1,2,0,10,152.0,4
8,0,4,1,3,0,1,1,10,124.0,4
9,0,4,1,3,1,1,0,7,23.0,3
10,1,3,1,2,0,2,1,10,152.0,9
11,0,6,1,1,0,1,1,7,156.0,3
12,0,5,1,4,0,1,1,10,26.0,9
13,1,3,1,3,1,2,0,7,160.0,7
14,0,4,1,3,0,1,1,7,26.0,9
15,0,6,1,4,1,1,0,10,124.0,2
16,1,4,1,3,0,1,1,10,26.0,4
17,1,3,1,4,1,2,0,10,152.0,1
18,0,5,1,1,0,1,0,10,26.0,7
19,1,3,1,3,0,2,1,10,151.0,9
20,0,3,1,4,1,2,0,10,160.0,8
21,0,3,1,4,0,2,1,10,152.0,3
22,1,3,1,2,1,2,0,7,152.0,1
23,1,3,1,4,1,2,0,10,152.0,1
24,0,4,1,3,0,1,1,10,122.0,6
25,1,4,1,3,0,1,1,10,26.0,5
26,0,5,1,4,0,3,1,10,124.0,9
27,0,3,1,2,0,2,1,7,156.0,7
28,1,4,1,4,0,2,0,7,1.0,6
29,1,3,1,3,1,1,0,10,152.0,5
30,1,4,1,4,0,1,1,10,156.0,3
31,1,3,1,2,1,2,0,10,152.0,9
32,1,3,1,1,1,2,0,7,160.0,7
33,0,3,1,4,1,2,0,10,160.0,8
34,1,3,1,1,0,1,1,10,124.0,6
35,0,3,1,2,1,2,0,10,160.0,4
36,1,3,1,2,1,2,0,10,152.0,4
37,1,4,1,2,1,1,0,10,124.0,2
38,0,4,1,4,0,1,1,10,124.0,2
39,1,3,1,2,0,2,1,10,152.0,3
40,0,3,1,4,0,2,1,10,152.0,3
41,1,4,1,3,1,1,1,7,13.0,5
42,1,6,1,3,0,1,1,10,26.0,9
43,1,5,1,3,0,3,1,10,26.0,2
44,0,3,1,1,0,2,1,7,152.0,6
45,1,4,1,4,1,1,0,10,152.0,9
46,1,5,1,1,0,1,1,10,7.0,5
47,0,5,1,1,1,1,0,10,124.0,0
48,0,3,1,4,1,2,0,10,152.0,2
49,0,3,1,4,1,1,0,10,124.0,6
50,0,4,1,4,0,1,1,7,26.0,6
51,1,3,1,3,1,2,0,10,152.0,7
52,0,4,1,3,0,1,1,10,26.0,1
53,1,4,1,3,0,1,1,10,26.0,0
54,0,3,1,1,1,2,0,10,152.0,8
55,1,5,1,3,1,1,0,10,124.0,8
56,0,3,1,1,1,2,0,10,152.0,8
57,1,4,1,3,1,1,0,10,152.0,6
58,1,4,1,3,0,1,1,10,13.0,6
59,1,4,1,3,1,1,0,7,124.0,4
60,1,5,1,4,1,1,0,10,124.0,9
61,0,5,1,3,0,3,1,10,125.0,5
62,1,4,1,3,0,1,1,10,124.0,8
63,0,3,1,1,0,2,1,7,124.0,1
64,0,4,1,4,0,1,1,7,26.0,5
65,0,4,1,1,1,1,0,10,26.0,2
66,0,3,1,4,1,2,0,10,160.0,7
67,1,3,1,1,0,2,0,10,152.0,6
68,0,3,1,3,1,2,0,10,152.0,1
69,1,3,1,4,0,1,1,7,156.0,4
70,0,3,1,2,1,2,0,7,152.0,8
71,1,4,1,3,0,1,1,10,26.0,3
72,0,3,1,3,0,1,1,10,122.0,7
73,0,3,1,1,1,2,0,10,152.0,2
74,1,3,1,4,1,2,0,10,152.0,4
75,0,3,1,1,1,2,0,9,152.0,8
76,1,4,1,3,0,1,1,10,26.0,9
77,0,4,1,4,0,1,1,10,124.0,0
78,0,3,1,2,1,2,0,10,152.0,3
79,0,4,1,4,0,1,1,10,26.0,5
80,1,3,1,4,0,1,1,9,156.0,6
81,0,3,1,4,1,2,0,10,124.0,5
82,0,4,1,1,1,1,0,10,154.0,6
83,1,3,1,2,1,2,0,10,152.0,9
84,1,5,1,4,1,1,0,10,124.0,3
85,0,3,1,4,1,2,0,10,152.0,2
86,0,3,1,4,1,2,0,10,152.0,1
87,1,3,1,3,1,2,0,10,152.0,2
88,1,4,1,3,0,1,1,10,26.0,0
89,1,5,1,3,0,1,0,10,24.0,8
90,0,3,1,1,1,2,0,9,152.0,3
91,0,4,1,4,1,1,0,10,8.0,2
92,0,3,1,4,1,2,1,7,160.0,2
93,1,5,1,4,0,1,0,7,26.0,8
94,0,3,1,1,1,2,0,10,152.0,7
95,1,3,1,3,0,1,1,7,124.0,1
96,1,3,1,3,1,2,0,10,152.0,2
97,0,4,1,4,0,1,1,7,156.0,3
98,0,5,1,4,0,1,1,7,124.0,6
99,1,3,1,4,1,2,0,10,152.0,3
100,1,3,1,2,1,2,0,10,152.0,6
101,0,5,1,4,0,1,1,7,156.0,8
102,0,4,1,3,0,3,1,10,124.0,7
103,0,4,1,1,0,1,1,10,25.0,6
104,0,3,1,4,0,2,1,10,124.0,8
105,0,5,1,4,0,1,1,9,124.0,4
106,1,3,1,4,1,2,0,10,152.0,3
107,0,5,1,3,1,1,0,10,154.0,1
108,1,3,1,2,1,2,0,10,152.0,4
109,0,3,1,2,1,2,0,10,152.0,5
110,1,4,1,1,1,1,0,10,19.0,9
111,1,3,1,3,1,2,0,10,152.0,8
112,0,3,1,1,1,2,0,10,152.0,4
113,0,4,1,1,1,1,0,7,124.0,3
114,1,4,1,3,0,1,1,10,124.0,4
115,0,5,1,3,0,3,1,10,124.0,4
116,1,5,1,3,0,1,1,10,124.0,7
117,1,3,1,3,1,2,0,10,152.0,3
118,0,5,1,2,1,1,0,7,124.0,8
119,1,5,1,3,1,1,0,10,26.0,3
120,1,3,1,1,1,1,0,10,150.0,8
121,0,5,1,3,0,3,1,7,26.0,7
122,0,3,1,1,0,2,1,10,152.0,1
123,0,3,1,3,1,1,0,7,124.0,9
124,0,4,1,3,0,1,1,10,26.0,1
125,1,4,1,4,0,1,1,10,122.0,4
126,0,3,1,1,0,2,1,11,152.0,4
127,1,3,1,4,1,2,0,10,152.0,3
128,0,3,1,4,0,2,1,10,151.0,3
129,1,3,1,4,0,2,0,10,152.0,4
130,1,3,1,4,1,2,0,10,152.0,9
131,0,4,1,3,0,1,1,10,124.0,8
132,1,5,1,4,1,1,0,10,8.0,0
133,1,3,1,1,1,2,0,10,152.0,1
134,0,3,1,3,1,2,0,10,152.0,5
135,0,5,1,4,0,3,1,11,26.0,8
136,0,5,1,3,0,1,1,10,122.0,5
137,0,5,1,3,1,1,0,10,26.0,7
138,1,4,1,3,0,1,1,10,26.0,7
139,1,4,1,3,0,1,1,10,26.0,8
140,0,4,1,1,0,1,1,10,26.0,0
141,1,3,1,1,1,2,0,10,152.0,8
142,1,3,1,3,1,2,0,10,152.0,9
143,1,5,1,3,1,1,0,10,124.0,3
144,0,3,1,3,0,2,1,10,26.0,2
145,1,4,1,1,1,1,0,10,26.0,0
146,1,3,1,4,1,2,0,10,152.0,7
147,1,4,1,3,0,1,1,10,122.0,3
148,0,3,1,1,0,1,1,10,124.0,8
149,1,5,1,3,0,1,1,10,124.0,1
150,0,4,1,4,1,1,0,7,29.0,8
151,1,4,1,3,0,1,1,10,124.0,2
152,1,3,1,4,1,2,0,10,160.0,3
153,1,4,1,3,0,2,1,7,26.0,8
154,0,3,1,4,0,2,1,7,160.0,0
155,1,3,1,4,1,2,0,10,152.0,2
156,0,3,1,1,0,1,1,10,156.0,2
157,0,3,1,4,1,2,0,10,152.0,3
158,1,3,1,4,1,2,0,10,152.0,1
159,1,3,1,3,1,2,0,10,152.0,5
160,0,3,1,2,1,2,0,9,152.0,3
161,0,3,1,3,0,1,1,7,157.0,8
162,0,4,1,2,1,1,0,7,26.0,1
163,1,3,1,2,0,2,0,10,152.0,1
164,1,4,1,2,0,1,1,7,124.0,8
165,0,5,1,3,0,1,1,10,124.0,2
166,0,3,1,4,0,2,1,9,160.0,7
167,1,4,1,1,0,1,0,10,152.0,4
168,0,4,1,2,1,1,0,10,124.0,9
169,0,6,1,3,0,1,0,10,122.0,4
170,1,4,1,3,0,1,1,7,158.0,3
171,0,3,1,4,0,2,1,10,152.0,6
172,1,3,1,2,1,2,0,10,152.0,2
173,1,4,1,1,0,1,1,10,7.0,8
174,1,3,1,3,0,2,1,10,151.0,8
175,1,4,1,2,0,1,0,7,26.0,0
176,1,3,1,4,1,2,0,7,152.0,4
177,1,4,1,3,1,1,0,10,26.0,1
178,0,4,1,3,1,1,0,10,152.0,2
179,1,3,1,3,1,2,0,10,152.0,8
180,0,3,1,2,1,2,0,7,160.0,9
181,0,5,1,1,1,1,1,10,156.0,1
182,0,3,1,1,1,2,1,10,152.0,9
183,0,3,1,2,1,2,1,10,124.0,6
184,1,4,1,3,0,1,1,10,26.0,2
185,1,3,1,4,1,2,0,10,152.0,7
186,0,3,1,4,0,1,1,9,157.0,9
187,0,4,1,1,1,1,1,10,124.0,6
188,1,3,1,4,0,2,0,10,152.0,5
189,0,3,1,1,0,2,1,10,13.0,0
190,0,4,1,1,0,1,1,10,124.0,7
191,0,3,1,3,1,2,0,10,152.0,5
192,0,4,1,4,0,1,1,7,156.0,4
193,0,3,1,2,1,2,0,10,152.0,9
194,1,3,1,1,1,2,0,9,152.0,1
195,0,5,1,3,1,1,0,10,26.0,7
196,0,5,1,2,1,1,0,10,124.0,0
197,1,5,1,3,0,1,1,10,26.0,7
198,0,3,1,3,0,1,1,7,156.0,1
199,0,3,1,4,1,2,0,10,152.0,6
200,1,3,1,4,0,2,1,10,152.0,3
201,0,5,1,3,0,1,1,10,26.0,5
202,1,6,1,1,1,1,0,10,154.0,5
203,1,5,1,3,0,3,1,7,158.0,5
204,1,3,1,4,0,2,0,7,152.0,0
205,0,5,1,3,0,3,1,10,26.0,5
206,0,4,1,3,0,1,1,10,26.0,9
207,1,5,1,4,0,1,1,11,26.0,3
208,1,4,1,4,0,1,1,7,152.0,9
209,1,3,1,4,1,2,0,10,152.0,7
210,0,4,1,3,1,1,0,10,30.0,1
211,0,4,1,4,1,1,0,9,26.0,1
212,0,5,1,3,0,1,1,10,26.0,2
213,1,5,1,3,0,1,1,10,122.0,1
214,1,3,1,1,1,2,0,10,160.0,4
215,1,3,1,4,1,2,0,7,160.0,6
216,1,3,1,4,0,2,1,10,160.0,6
217,1,3,1,3,1,2,0,10,152.0,2
218,0,3,1,4,1,1,0,10,124.0,9
219,0,3,1,4,1,2,0,10,152.0,6
220,0,5,1,3,0,3,1,10,124.0,4
221,0,3,1,2,0,2,0,10,152.0,1
222,0,4,1,1,0,1,1,10,124.0,2
223,1,3,1,2,1,2,0,10,152.0,9
224,1,3,1,1,1,2,0,10,152.0,1
225,1,5,1,1,0,1,1,10,124.0,2
226,1,4,1,3,0,3,1,10,157.0,3
227,0,3,1,1,1,2,0,10,152.0,0
228,1,4,1,3,0,1,1,7,124.0,5
229,0,4,1,1,0,3,1,11,124.0,2
230,0,4,1,3,1,1,0,10,124.0,2
231,1,5,1,3,1,1,0,10,26.0,6
232,0,6,1,1,1,1,0,10,7.0,1
233,0,5,1,1,0,3,1,9,124.0,1
234,1,3,1,4,1,2,0,7,26.0,2
235,1,4,1,3,0,3,1,10,26.0,5
236,0,5,1,3,0,1,1,10,124.0,0
237,0,4,1,3,0,1,1,10,156.0,1
238,0,5,1,3,1,1,0,10,26.0,7
239,0,6,1,4,1,1,0,7,122.0,6
240,1,3,1,4,0,2,1,10,124.0,3
241,0,5,1,3,0,1,1,10,2.0,3
242,0,3,1,1,1,2,0,10,152.0,4
243,1,4,1,3,0,1,1,10,26.0,1
244,0,3,1,2,1,2,0,10,152.0,4
245,1,5,1,3,1,1,0,10,26.0,7
246,1,5,1,4,0,1,1,10,26.0,9
247,1,3,1,2,0,2,1,10,160.0,6
248,0,3,1,1,1,2,0,9,152.0,7
249,1,3,1,1,1,2,0,10,152.0,0
250,1,6,1,3,1,1,0,10,26.0,6
251,1,4,1,4,1,1,0,10,26.0,3
252,1,3,1,1,1,2,0,10,152.0,8
253,1,3,1,2,1,2,0,7,152.0,4
254,1,3,1,3,1,2,0,10,152.0,0
