id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,0,3,1,3,1,2,0,11,152.0,4,0
1,0,3,1,1,1,2,0,10,152.0,7,0
2,0,4,1,1,0,1,1,7,47.0,7,0
3,0,3,1,1,1,2,0,10,152.0,7,0
4,1,3,1,3,1,2,0,10,152.0,6,0
5,1,4,1,3,0,1,1,7,124.0,7,1
6,1,4,1,1,0,1,1,10,124.0,1,1
7,1,3,1,1,1,2,0,10,152.0,9,0
8,0,5,1,4,1,1,0,10,26.0,9,0
9,0,5,1,4,0,1,1,10,124.0,9,0
10,1,3,1,2,0,2,0,10,160.0,3,0
11,0,3,1,1,1,2,0,10,152.0,5,0
12,1,3,1,3,1,2,0,10,152.0,4,0
13,0,3,1,4,1,2,0,9,152.0,2,0
14,1,3,1,4,0,2,0,10,152.0,6,0
15,1,3,1,4,1,2,0,10,152.0,8,0
16,0,5,1,4,0,1,1,10,26.0,5,0
17,0,4,1,3,1,1,0,10,122.0,8,0
18,0,4,1,1,0,1,1,10,124.0,2,1
19,1,4,1,3,0,1,1,10,13.0,1,0
20,0,3,1,4,1,2,0,10,152.0,0,0
21,1,3,1,2,1,2,0,10,152.0,2,0
22,0,4,1,1,1,1,0,10,124.0,1,0
23,0,4,1,4,1,1,0,10,153.0,4,0
24,0,4,1,3,1,1,0,11,26.0,6,0
25,1,4,1,4,0,1,1,10,163.0,9,0
26,0,4,1,2,0,1,1,7,124.0,6,1
27,0,6,1,3,0,1,1,10,26.0,7,1
28,0,3,1,1,0,2,1,10,160.0,8,0
29,1,3,1,1,1,2,0,9,152.0,6,0
30,1,3,1,1,1,2,0,10,151.0,1,0
31,0,3,1,3,1,2,0,10,152.0,6,0
32,0,4,1,3,0,1,1,10,23.0,8,0
33,1,5,1,4,1,1,0,10,113.0,3,0
34,1,4,1,4,0,1,1,10,124.0,3,0
35,0,3,1,3,0,1,1,10,124.0,1,0
36,1,3,1,4,1,2,0,10,152.0,9,0
37,0,3,1,2,1,2,0,10,152.0,6,0
38,0,3,1,1,1,2,0,10,152.0,0,0
39,1,4,1,3,0,1,1,10,124.0,2,0
40,0,5,1,3,0,1,1,10,52.0,4,0
41,0,4,1,4,1,2,0,7,1.0,7,0
42,1,4,1,1,0,1,1,7,156.0,2,0
43,1,4,1,3,0,1,1,10,124.0,6,1
44,0,3,1,4,0,2,0,10,152.0,7,0
45,1,3,1,2,0,1,0,9,124.0,7,0
46,0,4,1,1,0,1,1,10,124.0,1,0
47,1,3,1,1,0,1,1,10,124.0,3,0
48,0,5,1,3,0,3,1,11,26.0,2,1
49,1,3,1,4,0,2,0,7,152.0,3,0
50,1,3,1,1,0,2,1,10,152.0,0,0
